@relation cities_greece-weka.filters.unsupervised.attribute.Remove-R1

@attribute Latitude numeric
@attribute Longitude numeric

@data
35133.3333,25150
35133.3333,25166.6667
35133.3333,25183.3333
35133.3333,25216.6667
35133.3333,25233.3333
35133.3333,25266.6667
35133.3333,25333.3333
35133.3333,25533.3333
35133.3333,25666.6667
35133.3333,25900
35133.3333,25950
35133.3333,26016.6667
35133.3333,26033.3333
35133.3333,26066.6667
35133.3333,26100
35133.3333,26116.6667
35133.3333,26166.6667
35133.3333,26216.6667
35133.3333,26250
35150,24633.3333
35150,24666.6667
35150,24716.6667
35150,24733.3333
35150,24750
35150,24766.6667
35150,24783.3333
35150,24816.6667
35150,24833.3333
35150,25033.3333
35150,25200
35150,25233.3333
35150,25266.6667
35150,25300
35150,25350
35150,25466.6667
35150,25533.3333
35150,25550
35150,25566.6667
35150,25583.3333
35150,25633.3333
35150,25866.6667
35150,25916.6667
35150,25966.6667
35150,26016.6667
35150,26083.3333
35150,26100
35150,26166.6667
35150,26183.3333
35150,26250
35166.6667,24450
35166.6667,24483.3333
35166.6667,24516.6667
35166.6667,24533.3333
35166.6667,24583.3333
35166.6667,24716.6667
35166.6667,24733.3333
35166.6667,24783.3333
35166.6667,25000
35166.6667,25066.6667
35166.6667,25100
35166.6667,25116.6667
35166.6667,25200
35166.6667,25250
35166.6667,25333.3333
35166.6667,25350
35166.6667,25366.6667
35166.6667,25433.3333
35166.6667,25450
35166.6667,25483.3333
35166.6667,25650
35166.6667,25700
35166.6667,25933.3333
35166.6667,25950
35166.6667,25983.3333
35166.6667,26016.6667
35166.6667,26033.3333
35166.6667,26050
35166.6667,26100
35166.6667,26116.6667
35166.6667,26166.6667
35166.6667,26183.3333
35166.6667,26250
35183.3333,24233.3333
35183.3333,24416.6667
35183.3333,24450
35183.3333,24516.6667
35183.3333,24533.3333
35183.3333,24550
35183.3333,24583.3333
35183.3333,24666.6667
35183.3333,24683.3333
35183.3333,24733.3333
35183.3333,25016.6667
35183.3333,25033.3333
35183.3333,25066.6667
35183.3333,25216.6667
35183.3333,25250
35183.3333,25283.3333
35183.3333,25316.6667
35183.3333,25333.3333
35183.3333,25366.6667
35183.3333,25433.3333
35183.3333,25500
35183.3333,25516.6667
35183.3333,25600
35183.3333,25616.6667
35183.3333,25666.6667
35183.3333,25683.3333
35183.3333,25716.6667
35183.3333,25900
35183.3333,25966.6667
35183.3333,26033.3333
35183.3333,26050
35183.3333,26066.6667
35183.3333,26100
35183.3333,26116.6667
35183.3333,26150
35183.3333,26183.3333
35200,24066.6667
35200,24083.3333
35200,24150
35200,24166.6667
35200,24233.3333
35200,24266.6667
35200,24283.3333
35200,24316.6667
35200,24383.3333
35200,24400
35200,24416.6667
35200,24450
35200,24483.3333
35200,24500
35200,24566.6667
35200,24633.3333
35200,24650
35200,24683.3333
35200,25000
35200,25033.3333
35200,25083.3333
35200,25100
35200,25166.6667
35200,25183.3333
35200,25200
35200,25216.6667
35200,25250
35200,25266.6667
35200,25316.6667
35200,25333.3333
35200,25350
35200,25366.6667
35200,25383.3333
35200,25466.6667
35200,25483.3333
35200,25583.3333
35200,25616.6667
35200,25650
35200,25666.6667
35200,25683.3333
35200,25700
35200,26116.6667
35200,26250
35200,26266.6667
35216.6667,24066.6667
35216.6667,24083.3333
35216.6667,24100
35216.6667,24183.3333
35216.6667,24200
35216.6667,24216.6667
35216.6667,24266.6667
35216.6667,24500
35216.6667,24516.6667
35216.6667,24533.3333
35216.6667,24600
35216.6667,24616.6667
35216.6667,24683.3333
35216.6667,24700
35216.6667,24716.6667
35216.6667,25000
35216.6667,25033.3333
35216.6667,25050
35216.6667,25200
35216.6667,25216.6667
35216.6667,25266.6667
35216.6667,25300
35216.6667,25333.3333
35216.6667,25350
35216.6667,25383.3333
35216.6667,25466.6667
35216.6667,25516.6667
35216.6667,25533.3333
35216.6667,25550
35216.6667,25600
35216.6667,25650
35216.6667,25683.3333
35216.6667,25700
35216.6667,26033.3333
35216.6667,26216.6667
35216.6667,26266.6667
35233.3333,23633.3333
35233.3333,23683.3333
35233.3333,23966.6667
35233.3333,24016.6667
35233.3333,24083.3333
35233.3333,24116.6667
35233.3333,24133.3333
35233.3333,24216.6667
35233.3333,24350
35233.3333,24383.3333
35233.3333,24400
35233.3333,24450
35233.3333,24466.6667
35233.3333,24516.6667
35233.3333,24633.3333
35233.3333,24650
35233.3333,24666.6667
35233.3333,24700
35233.3333,24983.3333
35233.3333,25000
35233.3333,25016.6667
35233.3333,25033.3333
35233.3333,25166.6667
35233.3333,25183.3333
35233.3333,25216.6667
35233.3333,25233.3333
35233.3333,25350
35233.3333,25366.6667
35233.3333,25433.3333
35233.3333,25450
35233.3333,25466.6667
35233.3333,25616.6667
35233.3333,25683.3333
35233.3333,25700
35233.3333,25716.6667
35250,23550
35250,23583.3333
35250,23666.6667
35250,23683.3333
35250,23716.6667
35250,23783.3333
35250,23816.6667
35250,24150
35250,24166.6667
35250,24183.3333
35250,24216.6667
35250,24250
35250,24300
35250,24316.6667
35250,24333.3333
35250,24433.3333
35250,24450
35250,24500
35250,24533.3333
35250,24566.6667
35250,24600
35250,24633.3333
35250,24650
35250,24683.3333
35250,24983.3333
35250,25033.3333
35250,25066.6667
35250,25116.6667
35250,25166.6667
35250,25233.3333
35250,25250
35250,25300
35250,25333.3333
35250,25350
35250,25383.3333
35250,25416.6667
35250,25550
35250,25616.6667
35250,25633.3333
35250,25650
35250,25666.6667
35250,25683.3333
35250,26250
35266.6667,23616.6667
35266.6667,23650
35266.6667,23683.3333
35266.6667,23700
35266.6667,23716.6667
35266.6667,23733.3333
35266.6667,23750
35266.6667,23816.6667
35266.6667,24133.3333
35266.6667,24283.3333
35266.6667,24300
35266.6667,24333.3333
35266.6667,24350
35266.6667,24433.3333
35266.6667,24516.6667
35266.6667,24583.3333
35266.6667,24650
35266.6667,25000
35266.6667,25016.6667
35266.6667,25050
35266.6667,25116.6667
35266.6667,25133.3333
35266.6667,25183.3333
35266.6667,25216.6667
35266.6667,25233.3333
35266.6667,25250
35266.6667,25283.3333
35266.6667,25300
35266.6667,25366.6667
35266.6667,25416.6667
35266.6667,25566.6667
35266.6667,25583.3333
35266.6667,25650
35266.6667,25666.6667
35266.6667,25716.6667
35266.6667,26266.6667
35283.3333,23616.6667
35283.3333,23633.3333
35283.3333,23650
35283.3333,23666.6667
35283.3333,23683.3333
35283.3333,23700
35283.3333,23733.3333
35283.3333,23750
35283.3333,23766.6667
35283.3333,23783.3333
35283.3333,23816.6667
35283.3333,23833.3333
35283.3333,23966.6667
35283.3333,24183.3333
35283.3333,24200
35283.3333,24333.3333
35283.3333,24350
35283.3333,24366.6667
35283.3333,24383.3333
35283.3333,24416.6667
35283.3333,24466.6667
35283.3333,24483.3333
35283.3333,24500
35283.3333,24516.6667
35283.3333,24883.3333
35283.3333,25033.3333
35283.3333,25050
35283.3333,25066.6667
35283.3333,25083.3333
35283.3333,25100
35283.3333,25133.3333
35283.3333,25183.3333
35283.3333,25233.3333
35283.3333,25266.6667
35283.3333,25300
35283.3333,25316.6667
35283.3333,25333.3333
35283.3333,25466.6667
35283.3333,25500
35283.3333,25616.6667
35283.3333,25633.3333
35283.3333,25666.6667
35283.3333,25700
35300,23516.6667
35300,23583.3333
35300,23600
35300,23616.6667
35300,23633.3333
35300,23650
35300,23683.3333
35300,23700
35300,23716.6667
35300,23783.3333
35300,23800
35300,24183.3333
35300,24316.6667
35300,24350
35300,24366.6667
35300,24383.3333
35300,24400
35300,24416.6667
35300,24450
35300,24466.6667
35300,24500
35300,24533.3333
35300,24583.3333
35300,24800
35300,24816.6667
35300,24833.3333
35300,24900
35300,24916.6667
35300,24933.3333
35300,25016.6667
35300,25083.3333
35300,25100
35300,25150
35300,25166.6667
35300,25233.3333
35300,25250
35300,25300
35300,25366.6667
35300,25383.3333
35300,25433.3333
35300,25516.6667
35300,25566.6667
35300,25583.3333
35300,25600
35300,25616.6667
35300,25650
35300,25666.6667
35300,25733.3333
35316.6667,23533.3333
35316.6667,23616.6667
35316.6667,23650
35316.6667,23666.6667
35316.6667,23683.3333
35316.6667,23700
35316.6667,23716.6667
35316.6667,23733.3333
35316.6667,23750
35316.6667,23783.3333
35316.6667,23800
35316.6667,23816.6667
35316.6667,24200
35316.6667,24300
35316.6667,24316.6667
35316.6667,24333.3333
35316.6667,24350
35316.6667,24416.6667
35316.6667,24450
35316.6667,24533.3333
35316.6667,24616.6667
35316.6667,24683.3333
35316.6667,24800
35316.6667,24833.3333
35316.6667,24850
35316.6667,24916.6667
35316.6667,24950
35316.6667,25050
35316.6667,25133.3333
35316.6667,25166.6667
35316.6667,25183.3333
35316.6667,25283.3333
35316.6667,25316.6667
35316.6667,25366.6667
35316.6667,25383.3333
35316.6667,25566.6667
35316.6667,25600
35316.6667,25616.6667
35316.6667,25650
35316.6667,25666.6667
35316.6667,25683.3333
35316.6667,25716.6667
35316.6667,25733.3333
35333.3333,23550
35333.3333,23600
35333.3333,23650
35333.3333,23700
35333.3333,23716.6667
35333.3333,23733.3333
35333.3333,23750
35333.3333,23766.6667
35333.3333,23783.3333
35333.3333,23800
35333.3333,23816.6667
35333.3333,23833.3333
35333.3333,23900
35333.3333,24183.3333
35333.3333,24283.3333
35333.3333,24300
35333.3333,24333.3333
35333.3333,24350
35333.3333,24383.3333
35333.3333,24400
35333.3333,24416.6667
35333.3333,24466.6667
35333.3333,24483.3333
35333.3333,24500
35333.3333,24516.6667
35333.3333,24616.6667
35333.3333,24666.6667
35333.3333,24683.3333
35333.3333,24700
35333.3333,24716.6667
35333.3333,24733.3333
35333.3333,24750
35333.3333,24766.6667
35333.3333,24783.3333
35333.3333,24800
35333.3333,24816.6667
35333.3333,24833.3333
35333.3333,24850
35333.3333,24866.6667
35333.3333,24883.3333
35333.3333,25066.6667
35333.3333,25083.3333
35333.3333,25116.6667
35333.3333,25133.3333
35333.3333,25150
35333.3333,25166.6667
35333.3333,25250
35333.3333,25350
35333.3333,25616.6667
35333.3333,25633.3333
35333.3333,25666.6667
35333.3333,25700
35333.3333,25733.3333
35333.3333,25750
35350,23583.3333
35350,23600
35350,23633.3333
35350,23666.6667
35350,23683.3333
35350,23700
35350,23833.3333
35350,24166.6667
35350,24183.3333
35350,24200
35350,24216.6667
35350,24233.3333
35350,24250
35350,24266.6667
35350,24283.3333
35350,24316.6667
35350,24400
35350,24416.6667
35350,24433.3333
35350,24450
35350,24516.6667
35350,24533.3333
35350,24550
35350,24566.6667
35350,24583.3333
35350,24600
35350,24633.3333
35350,24666.6667
35350,24683.3333
35350,24716.6667
35350,24733.3333
35350,24750
35350,24766.6667
35350,24783.3333
35350,24816.6667
35350,24833.3333
35350,24850
35350,24866.6667
35350,24916.6667
35350,24966.6667
35366.6667,23550
35366.6667,23566.6667
35366.6667,23583.3333
35366.6667,23600
35366.6667,23616.6667
35366.6667,23633.3333
35366.6667,23650
35366.6667,23666.6667
35366.6667,23700
35366.6667,23733.3333
35366.6667,23783.3333
35366.6667,23850
35366.6667,23866.6667
35366.6667,24150
35366.6667,24166.6667
35366.6667,24250
35366.6667,24266.6667
35366.6667,24466.6667
35366.6667,24483.3333
35366.6667,24500
35366.6667,24533.3333
35366.6667,24566.6667
35366.6667,24583.3333
35366.6667,24600
35366.6667,24616.6667
35366.6667,24633.3333
35366.6667,24666.6667
35366.6667,24700
35366.6667,24716.6667
35366.6667,24766.6667
35366.6667,24883.3333
35366.6667,25016.6667
35383.3333,23633.3333
35383.3333,23666.6667
35383.3333,23733.3333
35383.3333,23766.6667
35383.3333,23816.6667
35383.3333,23850
35383.3333,23866.6667
35383.3333,23900
35383.3333,23966.6667
35383.3333,24100
35383.3333,24116.6667
35383.3333,24133.3333
35383.3333,24150
35383.3333,24166.6667
35383.3333,24183.3333
35383.3333,24200
35383.3333,24216.6667
35383.3333,24233.3333
35383.3333,24250
35383.3333,24600
35383.3333,24616.6667
35383.3333,24683.3333
35383.3333,24733.3333
35383.3333,24950
35383.3333,24966.6667
35400,23550
35400,23566.6667
35400,23600
35400,23616.6667
35400,23633.3333
35400,23666.6667
35400,23683.3333
35400,23716.6667
35400,23733.3333
35400,23766.6667
35400,23783.3333
35400,23850
35400,23900
35400,23916.6667
35400,23933.3333
35400,23950
35400,23983.3333
35400,24066.6667
35400,24083.3333
35400,24100
35400,24133.3333
35400,24150
35400,24166.6667
35400,24183.3333
35400,24200
35400,24216.6667
35400,24233.3333
35400,24250
35400,24700
35400,24716.6667
35400,24733.3333
35400,24750
35400,24783.3333
35400,24883.3333
35400,24983.3333
35400,26916.6667
35400,26933.3333
35400,26950
35416.6667,23566.6667
35416.6667,23583.3333
35416.6667,23633.3333
35416.6667,23650
35416.6667,23683.3333
35416.6667,23700
35416.6667,23750
35416.6667,23783.3333
35416.6667,23850
35416.6667,23933.3333
35416.6667,24016.6667
35416.6667,24033.3333
35416.6667,24050
35416.6667,24066.6667
35416.6667,24083.3333
35416.6667,24100
35416.6667,24116.6667
35416.6667,24133.3333
35416.6667,24150
35416.6667,24183.3333
35416.6667,24200
35416.6667,24216.6667
35416.6667,24233.3333
35416.6667,24250
35416.6667,24700
35416.6667,24716.6667
35416.6667,24783.3333
35416.6667,26933.3333
35433.3333,23583.3333
35433.3333,23633.3333
35433.3333,23666.6667
35433.3333,23683.3333
35433.3333,23700
35433.3333,23716.6667
35433.3333,23750
35433.3333,23766.6667
35433.3333,23783.3333
35433.3333,23833.3333
35433.3333,23850
35433.3333,23916.6667
35433.3333,23933.3333
35433.3333,24033.3333
35433.3333,24050
35433.3333,24066.6667
35433.3333,24116.6667
35433.3333,24166.6667
35433.3333,24183.3333
35433.3333,24200
35433.3333,24233.3333
35450,23583.3333
35450,23600
35450,23616.6667
35450,23633.3333
35450,23650
35450,23666.6667
35450,23683.3333
35450,23700
35450,23716.6667
35450,23733.3333
35450,23750
35450,23766.6667
35450,23783.3333
35450,23800
35450,23833.3333
35450,23866.6667
35450,23900
35450,23916.6667
35450,24016.6667
35450,24033.3333
35450,24050
35450,24116.6667
35450,24166.6667
35450,24200
35450,24216.6667
35450,24233.3333
35466.6667,23566.6667
35466.6667,23600
35466.6667,23616.6667
35466.6667,23633.3333
35466.6667,23650
35466.6667,23666.6667
35466.6667,23683.3333
35466.6667,23700
35466.6667,23716.6667
35466.6667,23733.3333
35466.6667,23750
35466.6667,23766.6667
35466.6667,23783.3333
35466.6667,23800
35466.6667,23816.6667
35466.6667,23833.3333
35466.6667,23850
35466.6667,23866.6667
35466.6667,23883.3333
35466.6667,23900
35466.6667,23916.6667
35466.6667,23933.3333
35466.6667,23950
35466.6667,23966.6667
35466.6667,23983.3333
35466.6667,24066.6667
35466.6667,24100
35466.6667,24116.6667
35466.6667,24133.3333
35466.6667,24150
35466.6667,27133.3333
35483.3333,23583.3333
35483.3333,23600
35483.3333,23650
35483.3333,23666.6667
35483.3333,23683.3333
35483.3333,23700
35483.3333,23716.6667
35483.3333,23733.3333
35483.3333,23750
35483.3333,23766.6667
35483.3333,23783.3333
35483.3333,23800
35483.3333,23816.6667
35483.3333,23833.3333
35483.3333,23850
35483.3333,23866.6667
35483.3333,23900
35483.3333,23916.6667
35483.3333,23950
35483.3333,23966.6667
35483.3333,23983.3333
35483.3333,24000
35483.3333,24016.6667
35483.3333,24033.3333
35483.3333,24066.6667
35483.3333,27116.6667
35483.3333,27183.3333
35500,23600
35500,23616.6667
35500,23633.3333
35500,23650
35500,23666.6667
35500,23683.3333
35500,23700
35500,23716.6667
35500,23733.3333
35500,23750
35500,23766.6667
35500,23783.3333
35500,23800
35500,23816.6667
35500,23833.3333
35500,23850
35500,23866.6667
35500,23883.3333
35500,23900
35500,23933.3333
35500,23966.6667
35500,23983.3333
35500,24000
35500,24016.6667
35500,24033.3333
35500,27233.3333
35516.6667,23600
35516.6667,23616.6667
35516.6667,23633.3333
35516.6667,23750
35516.6667,23783.3333
35516.6667,23816.6667
35516.6667,23850
35516.6667,23866.6667
35516.6667,23883.3333
35516.6667,23916.6667
35516.6667,23933.3333
35516.6667,23966.6667
35516.6667,23983.3333
35516.6667,24000
35516.6667,24033.3333
35516.6667,24050
35516.6667,24083.3333
35516.6667,24100
35516.6667,24116.6667
35516.6667,24133.3333
35516.6667,24150
35516.6667,27133.3333
35533.3333,23733.3333
35533.3333,23750
35533.3333,23766.6667
35533.3333,23783.3333
35533.3333,23800
35533.3333,24083.3333
35533.3333,24100
35533.3333,24116.6667
35533.3333,24150
35533.3333,24183.3333
35533.3333,27150
35550,23750
35550,23766.6667
35550,23783.3333
35550,24150
35550,24166.6667
35550,27166.6667
35550,27183.3333
35566.6667,23600
35566.6667,23750
35566.6667,23766.6667
35566.6667,24100
35566.6667,24133.3333
35600,23716.6667
35616.6667,27116.6667
35633.3333,27150
35666.6667,23733.3333
35683.3333,27150
35733.3333,27183.3333
35750,27216.6667
35766.6667,27183.3333
35800,27216.6667
35866.6667,23300
35883.3333,23283.3333
35900,27216.6667
35900,27250
35950,27766.6667
35966.6667,27866.6667
36000,27816.6667
36016.6667,27933.3333
36050,27816.6667
36050,27883.3333
36066.6667,27933.3333
36083.3333,27800
36083.3333,27850
36083.3333,28083.3333
36100,27833.3333
36100,28016.6667
36116.6667,27750
36133.3333,29583.3333
36150,22983.3333
36150,23016.6667
36150,23033.3333
36150,27783.3333
36150,27850
36150,27950
36166.6667,22966.6667
36166.6667,22983.3333
36166.6667,23000
36183.3333,22950
36183.3333,22966.6667
36183.3333,22983.3333
36183.3333,23000
36183.3333,28133.3333
36200,22950
36200,22966.6667
36200,22983.3333
36200,23000
36216.6667,22916.6667
36216.6667,22950
36216.6667,22966.6667
36216.6667,22983.3333
36216.6667,27600
36216.6667,27616.6667
36216.6667,27866.6667
36233.3333,22950
36233.3333,22966.6667
36233.3333,22983.3333
36233.3333,23000
36233.3333,23083.3333
36233.3333,27850
36250,22933.3333
36250,22950
36250,22983.3333
36250,23000
36250,27716.6667
36250,27966.6667
36250,28016.6667
36250,28166.6667
36266.6667,22950
36266.6667,22966.6667
36266.6667,22983.3333
36266.6667,23083.3333
36266.6667,27900
36266.6667,27916.6667
36283.3333,22950
36283.3333,22966.6667
36283.3333,27866.6667
36283.3333,27950
36300,22966.6667
36300,22983.3333
36300,28150
36316.6667,22933.3333
36316.6667,22950
36316.6667,28050
36333.3333,22950
36333.3333,22966.6667
36333.3333,22983.3333
36333.3333,27950
36350,22950
36350,25400
36350,25450
36350,25766.6667
36350,27983.3333
36366.6667,22950
36383.3333,25433.3333
36383.3333,25450
36383.3333,25466.6667
36399.1667,27423.6111
36400,22483.3333
36400,25450
36400,25483.3333
36400,28083.3333
36400,28116.6667
36400,28166.6667
36415.8333,27385
36416.6667,22483.3333
36416.6667,25433.3333
36416.6667,25450
36416.6667,28183.3333
36420.8333,27371.3889
36433.3333,22466.6667
36433.3333,22483.3333
36433.3333,25333.3333
36433.3333,25350
36433.3333,25416.6667
36433.3333,25433.3333
36433.3333,28216.6667
36449.1667,27348.3333
36450,22466.6667
36450,22483.3333
36450,28250
36458.6111,27318.6111
36466.6667,22433.3333
36466.6667,22450
36466.6667,22466.6667
36466.6667,23166.6667
36466.6667,25366.6667
36466.6667,25383.3333
36466.6667,25400
36483.3333,22366.6667
36483.3333,22383.3333
36483.3333,22400
36483.3333,22416.6667
36483.3333,22450
36483.3333,22483.3333
36483.3333,22500
36483.3333,22950
36483.3333,23100
36483.3333,23150
36500,22366.6667
36500,22383.3333
36500,22400
36500,22416.6667
36500,22433.3333
36500,22466.6667
36500,22483.3333
36500,23083.3333
36516.6667,22366.6667
36516.6667,22383.3333
36516.6667,22400
36516.6667,22416.6667
36516.6667,22466.6667
36516.6667,22483.3333
36516.6667,22983.3333
36516.6667,23050
36516.6667,23066.6667
36516.6667,23083.3333
36533.3333,22366.6667
36533.3333,22383.3333
36533.3333,22400
36533.3333,22416.6667
36533.3333,22433.3333
36533.3333,22450
36533.3333,22466.6667
36533.3333,22983.3333
36533.3333,23083.3333
36533.3333,23116.6667
36533.3333,27850
36550,22400
36550,22416.6667
36550,22450
36550,22983.3333
36550,23000
36550,23016.6667
36550,23033.3333
36550,23050
36550,23100
36550,26350
36558.6111,27175.5556
36566.6667,22400
36566.6667,22416.6667
36566.6667,22466.6667
36566.6667,22483.3333
36566.6667,22966.6667
36566.6667,22983.3333
36566.6667,23000
36566.6667,23016.6667
36566.6667,23033.3333
36566.6667,23050
36574.1667,27177.7778
36583.3333,22400
36583.3333,22416.6667
36583.3333,22466.6667
36583.3333,23033.3333
36600,22366.6667
36600,22383.3333
36600,22400
36600,22416.6667
36600,22966.6667
36600,23050
36600,24916.6667
36600,24933.3333
36600,27833.3333
36603.3333,27177.7778
36611.3889,27133.3333
36616.6667,22383.3333
36616.6667,22400
36616.6667,22466.6667
36616.6667,22483.3333
36616.6667,22500
36616.6667,22916.6667
36616.6667,22983.3333
36616.6667,23000
36616.6667,24950
36617.7778,27170.8333
36633.3333,22383.3333
36633.3333,22400
36633.3333,22466.6667
36633.3333,22483.3333
36633.3333,22500
36633.3333,22883.3333
36633.3333,22950
36633.3333,23000
36633.3333,23016.6667
36633.3333,23033.3333
36633.3333,24900
36633.3333,24916.6667
36650,22383.3333
36650,22400
36650,22416.6667
36650,22433.3333
36650,22466.6667
36650,22500
36650,22900
36650,22966.6667
36650,23016.6667
36650,24883.3333
36662.7778,27119.4444
36666.6667,22366.6667
36666.6667,22383.3333
36666.6667,22433.3333
36666.6667,22450
36666.6667,22466.6667
36666.6667,22483.3333
36666.6667,22500
36666.6667,22533.3333
36666.6667,22550
36666.6667,22933.3333
36666.6667,22983.3333
36666.6667,23016.6667
36683.3333,22383.3333
36683.3333,22416.6667
36683.3333,22433.3333
36683.3333,22450
36683.3333,22466.6667
36683.3333,22483.3333
36683.3333,22516.6667
36683.3333,22833.3333
36683.3333,22916.6667
36683.3333,22933.3333
36683.3333,22966.6667
36683.3333,23033.3333
36683.3333,23050
36683.3333,25333.3333
36700,22383.3333
36700,22466.6667
36700,22483.3333
36700,22533.3333
36700,22900
36700,22916.6667
36700,22933.3333
36700,22950
36700,23033.3333
36700,24483.3333
36700,24533.3333
36700,25116.6667
36716.6667,22350
36716.6667,22366.6667
36716.6667,22383.3333
36716.6667,22400
36716.6667,22416.6667
36716.6667,22433.3333
36716.6667,22466.6667
36716.6667,22500
